id,name,email,department,value
0,Name_0,user_0@example.com,dept_0,20
1,Name_1,user_1@example.com,dept_1,60
2,Name_2,user_2@example.com,dept_2,89
3,Name_3,user_3@example.com,dept_3,45
4,Name_4,user_4@example.com,dept_4,51
5,Name_5,user_5@example.com,dept_5,45
6,Name_6,user_6@example.com,dept_6,21
7,Name_7,user_7@example.com,dept_7,89
8,Name_8,user_8@example.com,dept_8,49
9,Name_9,user_9@example.com,dept_9,95
10,Name_10,user_10@example.com,dept_0,39
11,Name_11,user_11@example.com,dept_1,39
12,Name_12,user_12@example.com,dept_2,91
13,Name_13,user_13@example.com,dept_3,79
14,Name_14,user_14@example.com,dept_4,31
15,Name_15,user_15@example.com,dept_5,82
16,Name_16,user_16@example.com,dept_6,29
17,Name_17,user_17@example.com,dept_7,24
18,Name_18,user_18@example.com,dept_8,46
19,Name_19,user_19@example.com,dept_9,79
20,Name_20,user_20@example.com,dept_0,35
21,Name_21,user_21@example.com,dept_1,88
22,Name_22,user_22@example.com,dept_2,86
23,Name_23,user_23@example.com,dept_3,54
24,Name_24,user_24@example.com,dept_4,4
25,Name_25,user_25@example.com,dept_5,20
26,Name_26,user_26@example.com,dept_6,68
27,Name_27,user_27@example.com,dept_7,12
28,Name_28,user_28@example.com,dept_8,70
29,Name_29,user_29@example.com,dept_9,84
30,Name_30,user_30@example.com,dept_0,94
31,Name_31,user_31@example.com,dept_1,26
32,Name_32,user_32@example.com,dept_2,81
33,Name_33,user_33@example.com,dept_3,51
34,Name_34,user_34@example.com,dept_4,51
35,Name_35,user_35@example.com,dept_5,13
36,Name_36,user_36@example.com,dept_6,4
37,Name_37,user_37@example.com,dept_7,77
38,Name_38,user_38@example.com,dept_8,56
39,Name_39,user_39@example.com,dept_9,40
40,Name_40,user_40@example.com,dept_0,44
41,Name_41,user_41@example.com,dept_1,38
42,Name_42,user_42@example.com,dept_2,62
43,Name_43,user_43@example.com,dept_3,89
44,Name_44,user_44@example.com,dept_4,99
45,Name_45,user_45@example.com,dept_5,42
46,Name_46,user_46@example.com,dept_6,83
47,Name_47,user_47@example.com,dept_7,14
48,Name_48,user_48@example.com,dept_8,67
49,Name_49,user_49@example.com,dept_9,49
50,Name_50,user_0@example.com,dept_0,11
51,Name_51,user_1@example.com,dept_1,23
52,Name_52,user_2@example.com,dept_2,80
53,Name_53,user_3@example.com,dept_3,19
54,Name_54,user_4@example.com,dept_4,48
55,Name_55,user_5@example.com,dept_5,19
56,Name_56,user_6@example.com,dept_6,37
57,Name_57,user_7@example.com,dept_7,80
58,Name_58,user_8@example.com,dept_8,97
59,Name_59,user_9@example.com,dept_9,41
60,Name_60,user_10@example.com,dept_0,77
61,Name_61,user_11@example.com,dept_1,25
62,Name_62,user_12@example.com,dept_2,39
63,Name_63,user_13@example.com,dept_3,46
64,Name_64,user_14@example.com,dept_4,22
65,Name_65,user_15@example.com,dept_5,27
66,Name_66,user_16@example.com,dept_6,40
67,Name_67,user_17@example.com,dept_7,26
68,Name_68,user_18@example.com,dept_8,89
69,Name_69,user_19@example.com,dept_9,13
70,Name_70,user_20@example.com,dept_0,75
71,Name_71,user_21@example.com,dept_1,27
72,Name_72,user_22@example.com,dept_2,11
73,Name_73,user_23@example.com,dept_3,32
74,Name_74,user_24@example.com,dept_4,84
75,Name_75,user_25@example.com,dept_5,15
76,Name_76,user_26@example.com,dept_6,51
77,Name_77,user_27@example.com,dept_7,96
78,Name_78,user_28@example.com,dept_8,17
79,Name_79,user_29@example.com,dept_9,40
80,Name_80,user_30@example.com,dept_0,44
81,Name_81,user_31@example.com,dept_1,47
82,Name_82,user_32@example.com,dept_2,90
83,Name_83,user_33@example.com,dept_3,25
84,Name_84,user_34@example.com,dept_4,1
85,Name_85,user_35@example.com,dept_5,39
86,Name_86,user_36@example.com,dept_6,73
87,Name_87,user_37@example.com,dept_7,52
88,Name_88,user_38@example.com,dept_8,2
89,Name_89,user_39@example.com,dept_9,99
90,Name_90,user_40@example.com,dept_0,7
91,Name_91,user_41@example.com,dept_1,6
92,Name_92,user_42@example.com,dept_2,39
93,Name_93,user_43@example.com,dept_3,55
94,Name_94,user_44@example.com,dept_4,20
95,Name_95,user_45@example.com,dept_5,23
96,Name_96,user_46@example.com,dept_6,26
97,Name_97,user_47@example.com,dept_7,45
98,Name_98,user_48@example.com,dept_8,76
99,Name_99,user_49@example.com,dept_9,10
100,Name_0,user_0@example.com,dept_0,6
101,Name_1,user_1@example.com,dept_1,61
102,Name_2,user_2@example.com,dept_2,1
103,Name_3,user_3@example.com,dept_3,35
104,Name_4,user_4@example.com,dept_4,84
105,Name_5,user_5@example.com,dept_5,39
106,Name_6,user_6@example.com,dept_6,34
107,Name_7,user_7@example.com,dept_7,22
108,Name_8,user_8@example.com,dept_8,68
109,Name_9,user_9@example.com,dept_9,58
110,Name_10,user_10@example.com,dept_0,22
111,Name_11,user_11@example.com,dept_1,33
112,Name_12,user_12@example.com,dept_2,15
113,Name_13,user_13@example.com,dept_3,7
114,Name_14,user_14@example.com,dept_4,93
115,Name_15,user_15@example.com,dept_5,93
116,Name_16,user_16@example.com,dept_6,34
117,Name_17,user_17@example.com,dept_7,64
